Word		Original_feature		Predicted_feature
ऑयल		sg		sg
इंडस्ट्री		sg		sg
एंड		UNK		UNK
ट्रेड		sg		sg
यानि		UNK		UNK
कोइट		sg		sg
का		sg		sg
कहना		sg		any
है		sg		sg
कि		UNK		UNK
इस		sg		sg
साल		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
कम		UNK		UNK
रहने		sg		sg
की		sg		sg
उम्मीद		sg		sg
की		sg		sg
जा		any		any
रही		sg		sg
है		sg		sg
।		UNK		UNK
उद्योग		sg		sg
जगत		sg		sg
दावा		sg		sg
करता		sg		sg
है		sg		sg
कि		UNK		UNK
इस		sg		sg
खरीफ		sg		sg
सीज़न		sg		sg
के		UNK		UNK
दौरान		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
पिछले		sg		sg
साल		sg		sg
की		UNK		sg
तुलना		UNK		UNK
में		UNK		UNK
ज्यादा		UNK		UNK
होगा		sg		sg
।		UNK		UNK
उद्योग		sg		sg
के		UNK		UNK
मुताबिक		UNK		UNK
इस		sg		sg
साल		sg		sg
तिलहन		sg		sg
उत्पादन		sg		sg
करीब		UNK		UNK
130.4		any		any
लाख		any		any
टन		pl		sg
होगा		sg		sg
।		UNK		UNK
जो		sg		sg
पिछले		sg		sg
साल		sg		sg
के		sg		sg
उत्पादन		sg		sg
में		UNK		UNK
करीब		UNK		UNK
6.8		any		any
लाख		any		any
टन		pl		sg
ज्यादा		UNK		UNK
है		sg		sg
।		UNK		UNK
पिछले		sg		sg
साल		sg		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
123		any		any
लाख		any		any
टन		pl		sg
हुआ		sg		sg
था		sg		sg
।		UNK		UNK
उद्योग		sg		sg
का		sg		sg
अनुमान		sg		sg
है		sg		sg
कि		UNK		UNK
इस		sg		sg
साल		sg		sg
मूँगफली		sg		sg
का		sg		sg
उत्पादन		sg		sg
56.5		any		any
लाख		any		any
टन		pl		sg
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		sg		sg
का		sg		sg
उत्पादन		sg		sg
53.6		any		any
लाख		any		any
टन		pl		sg
होगा		sg		sg
।		UNK		UNK
जबकि		UNK		UNK
पिछले		sg		sg
साल		sg		sg
मूँगफली		sg		sg
का		sg		sg
उत्पादन		sg		sg
44.5		any		any
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		sg		sg
का		sg		sg
उत्पादन		sg		sg
58.5		any		any
लाख		any		any
टन		pl		sg
हुआ		sg		sg
था		sg		sg
।		UNK		UNK
कृषि		sg		sg
मंत्रालय		sg		sg
उद्योग		sg		sg
जगत		sg		sg
के		pl		pl
इन		pl		pl
आँकड़ों		pl		pl
से		UNK		UNK
इत्तेफाक		sg		sg
नहीं		UNK		UNK
रखता		sg		sg
है		sg		sg
और		UNK		UNK
उसके		sg		sg
मुताबिक		UNK		UNK
इस		sg		sg
साल		sg		sg
तिहलन		sg		sg
उत्पादन		sg		sg
में		UNK		UNK
करीब		UNK		UNK
2.5		any		any
फीसदी		sg		sg
की		sg		sg
कमी		sg		sg
आ		sg		sg
सकती		sg		sg
है		sg		sg
।		UNK		UNK
इस		sg		sg
साल		sg		sg
महाराष्ट्र		sg		sg
और		UNK		UNK
गुजरात		sg		sg
में		UNK		UNK
ज्यादा		UNK		UNK
बारिश		sg		sg
का		sg		sg
असर		sg		sg
तिलहन		sg		sg
उत्पादन		sg		sg
पर		UNK		UNK
पड़ा		sg		sg
है		sg		sg
।		UNK		UNK
पिछले		sg		sg
साल		sg		sg
149.4		any		UNK
लाख		any		any
टन		pl		sg
तिलहन		sg		sg
का		sg		sg
उत्पादन		sg		sg
हुआ		sg		sg
था		sg		sg
।		UNK		UNK
मंत्रालय		sg		sg
का		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
इस		sg		sg
साल		sg		sg
मूँगफली		sg		sg
का		sg		sg
उत्पादन		sg		sg
59.4		any		UNK
लाख		any		any
टन		pl		sg
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		sg		sg
का		sg		sg
65.8		any		any
लाख		any		any
टन		pl		sg
होने		sg		sg
की		sg		sg
संभावना		sg		sg
है		sg		sg
।		UNK		UNK
बैजोरिया		sg		sg
का		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
इन		pl		pl
आँकड़ों		pl		pl
में		UNK		UNK
अंतर		sg		sg
का		sg		sg
असर		sg		sg
तिलहन		sg		sg
की		pl		pl
कीमतों		pl		pl
पर		UNK		UNK
नहीं		UNK		UNK
पड़ता		sg		sg
है		sg		sg
।		UNK		UNK
उनका		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
उनके		sg		sg
पास		sg		sg
ये		pl		pl
आँकड़ें		pl		pl
स्थानीय		any		any
स्तर		sg		sg
पर		UNK		UNK
आते		pl		pl
हैं		pl		pl
जो		any		sg
पूरी		sg		sg
तरह		sg		sg
से		UNK		UNK
सही		any		any
होते		pl		pl
हैं		pl		pl
।		UNK		UNK
पाकिस्तान		sg		sg
क्रिकेट		sg		sg
बोर्ड		sg		sg
(		UNK		UNK
पीसीबी		sg		sg
)		UNK		UNK
ने		UNK		UNK
भारत		sg		sg
-		UNK		UNK
पाकिस्तान		sg		sg
क्रिकेट		sg		sg
मैच		sg		sg
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कांग्रेस		sg		sg
सांसद		sg		sg
राहुल		sg		sg
गांधी		sg		sg
और		UNK		UNK
उनकी		sg		sg
बहन		sg		sg
प्रियंका		sg		sg
वाड्रा		sg		sg
को		UNK		UNK
निमंत्रण		sg		sg
भेजा		sg		sg
है		sg		sg
।		UNK		UNK
मीडिया		sg		sg
रिपोर्टों		pl		pl
के		UNK		UNK
मुताबिक		UNK		UNK
भारत		sg		sg
के		UNK		UNK
खिलाफ		UNK		UNK
जारी		any		any
क्रिकेट		sg		sg
श्रृंखला		sg		sg
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
बोर्ड		sg		sg
द्वारा		UNK		UNK
कांग्रेस		sg		sg
अध्यक्ष		sg		sg
सोनिया		sg		sg
गांधी		sg		sg
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		sg		sg
भेजा		sg		sg
जा		any		any
सकता		sg		sg
है		sg		sg
।		UNK		UNK
पीसीबी		sg		sg
निदेशक		sg		sg
(		UNK		UNK
बोर्ड		sg		sg
ऑपरेशंस		pl		sg
)		UNK		UNK
अब्बास		sg		sg
जैदी		sg		sg
के		UNK		sg
हवाले		UNK		sg
से		UNK		UNK
एक		any		any
लोकल		any		sg
टीवी		sg		sg
चैनल		sg		sg
ने		UNK		UNK
बताया		sg		sg
है		sg		sg
कि		UNK		UNK
बोर्ड		sg		sg
के		sg		sg
चेयरमैन		sg		sg
शहरयार		sg		sg
खान		sg		sg
ने		UNK		UNK
पाकिस्तान		sg		sg
में		UNK		UNK
जारी		any		any
क्रिकेट		sg		sg
मैचों		pl		pl
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
राहुल		sg		sg
व		UNK		UNK
प्रियंका		sg		sg
को		UNK		UNK
निमंत्रण		sg		sg
भेजा		sg		sg
है		sg		sg
।		UNK		UNK
'		UNK		UNK
दी		sg		sg
न्यूज		sg		sg
'		UNK		UNK
के		UNK		UNK
मुताबिक		UNK		UNK
बोर्ड		sg		sg
द्वारा		UNK		UNK
सोनिया		sg		sg
को		UNK		UNK
भी		UNK		UNK
निमंत्रण		sg		sg
भेजे		sg		sg
जाने		any		any
की		sg		sg
संभावना		sg		sg
है		sg		sg
।		UNK		UNK
उपर्युक्त		any		any
लोगों		pl		pl
के		UNK		UNK
अलावा		UNK		UNK
कराची		sg		sg
में		UNK		UNK
होने		sg		sg
वाले		sg		pl
तीसरे		sg		sg
टेस्ट		sg		sg
व		UNK		UNK
उसके		sg		sg
बाद		sg		sg
पांच		any		any
एक		any		any
दिवसीय		any		any
मैचों		pl		pl
को		UNK		UNK
देखने		any		any
के		UNK		UNK
लिए		UNK		UNK
कुछ		UNK		UNK
पूर्व		any		any
टेस्ट		sg		sg
खिलाड़ियों		pl		pl
को		UNK		UNK
भी		UNK		UNK
आमंत्रित		any		any
किया		sg		sg
गया		sg		sg
है		sg		sg
।		UNK		UNK
राज्यसभा		sg		sg
में		UNK		UNK
विपक्ष		sg		sg
के		sg		sg
नेता		sg		sg
जसवंत		sg		sg
सिंह		sg		sg
ने		UNK		UNK
शनिवार		sg		sg
को		UNK		UNK
तीर्थ		sg		sg
-		UNK		UNK
यात्रा		sg		sg
पर		UNK		UNK
पाकिस्तान		sg		sg
जाने		sg		any
की		sg		sg
घोषणा		sg		sg
की		sg		sg
।		UNK		UNK
यात्रा		sg		sg
के		UNK		UNK
दौरान		sg		sg
वे		sg		pl
मोहम्मद		sg		sg
अली		sg		sg
जिन्ना		sg		sg
की		sg		sg
मज़ार		sg		sg
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		sg		pl
।		UNK		UNK
लगभग		UNK		UNK
एक		any		any
साल		sg		sg
पूर्व		sg		any
भाजपा		sg		sg
के		sg		sg
वरिष्ठ		any		any
नेता		sg		sg
एल.		sg		sg
के.		sg		sg
आडवाणी		sg		sg
द्वारा		UNK		UNK
जिन्ना		sg		sg
की		sg		sg
मज़ार		sg		sg
पर		UNK		UNK
दिए		sg		sg
बयान		sg		sg
से		UNK		UNK
भाजपा		sg		sg
में		UNK		UNK
तूफान		sg		sg
उठ		sg		sg
गया		sg		sg
था		sg		sg
।		UNK		UNK
अंततः		UNK		UNK
पार्टी		sg		sg
के		sg		sg
अध्यक्ष		sg		sg
पद		sg		sg
से		UNK		UNK
आडवाणी		sg		sg
को		UNK		UNK
इस्तीफा		sg		sg
देने		any		any
पर		UNK		UNK
मजबूर		any		any
होना		sg		sg
पड़ा		sg		sg
।		UNK		UNK
यहाँ		UNK		UNK
संवाददाताओं		pl		pl
से		UNK		UNK
सिंह		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
वे		sg		pl
बलूचिस्तान		sg		sg
में		UNK		UNK
स्थित		any		any
हिंगलाज		sg		sg
माता		sg		sg
के		sg		sg
शक्तिपीठ		sg		sg
का		sg		sg
दर्शन		sg		sg
करेंगे		sg		pl
।		UNK		UNK
३०		sg		sg
जनवरी		sg		sg
को		UNK		UNK
शुरू		sg		sg
होकर		any		any
उनकी		sg		sg
यात्रा		sg		sg
एक		any		any
हफ्ते		sg		sg
में		UNK		UNK
समाप्त		any		any
होगी		sg		sg
।		UNK		UNK
इस		sg		sg
दौरान		sg		sg
वे		sg		sg
शहबाज		sg		sg
कलंदर		sg		sg
की		sg		sg
दरगाह		sg		sg
पर		UNK		UNK
भी		UNK		UNK
जाएँगे		sg		pl
और		UNK		UNK
जागीर		sg		sg
व		UNK		UNK
उमरकोट		sg		sg
में		UNK		UNK
अपने		any		any
संबंधियों		pl		pl
से		UNK		UNK
मिलेंगे		sg		pl
।		UNK		UNK
यात्रा		sg		sg
में		UNK		UNK
तक़रीबन		UNK		UNK
१००		any		any
श्रद्धालु		pl		sg
उनके		sg		pl
साथ		sg		sg
होंगे		pl		pl
।		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
पाकिस्तान		sg		sg
के		sg		sg
राष्ट्रपति		sg		sg
परवेज़		sg		sg
मुशर्रफ		sg		sg
के		sg		sg
सहयोग		sg		sg
से		UNK		UNK
मेरी		sg		sg
यात्रा		sg		sg
संभव		any		any
हुई		sg		sg
है		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
व्यक्तिगत		any		any
रुचि		sg		sg
लेकर		any		any
मेरी		sg		sg
यात्रा		sg		sg
की		pl		pl
अड़चनें		pl		pl
दूर		sg		sg
करने		sg		sg
का		sg		sg
प्रयास		sg		sg
किया		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
वह		sg		sg
क़ायदेआज़म		sg		sg
मुहम्मद		sg		sg
अली		sg		sg
जिन्ना		sg		sg
की		sg		sg
मज़ार		sg		sg
पर		UNK		UNK
भी		UNK		UNK
जाएंगे		sg		pl
।		UNK		UNK
उन्होंने		sg		sg
बताया		sg		sg
कि		UNK		UNK
पाकिस्तान		sg		sg
का		sg		sg
मेहमान		sg		sg
होने		any		any
के		UNK		UNK
नाते		UNK		UNK
वे		sg		pl
मज़ार		sg		sg
के		sg		sg
दर्शन		sg		sg
के		sg		sg
मेज़बान		sg		sg
के		sg		sg
सुझाव		sg		sg
की		sg		sg
अवहेलना		sg		sg
नहीं		UNK		UNK
कर		sg		sg
सकते		sg		sg
।		UNK		UNK
सिंह		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
उन्होंने		sg		sg
अपनी		any		any
यात्रा		sg		sg
की		sg		sg
जानकारी		sg		sg
पार्टी		sg		sg
नेताओं		pl		pl
को		UNK		UNK
दे		sg		sg
दी		sg		sg
है		sg		sg
।		UNK		UNK
लिहाज़ा		UNK		UNK
इस		sg		sg
यात्रा		sg		sg
के		UNK		UNK
लिए		UNK		UNK
पार्टी		sg		sg
में		UNK		UNK
किसी		sg		sg
तरह		sg		sg
का		sg		sg
कोई		sg		sg
विवाद		sg		sg
नहीं		UNK		UNK
है		sg		sg
।		UNK		UNK
यह		sg		sg
एक		any		any
धार्मिक		any		any
यात्रा		sg		sg
है		sg		sg
।		UNK		UNK
बलूचिस्तान		sg		sg
पर		UNK		UNK
हाल		sg		sg
ही		UNK		UNK
में		UNK		UNK
अमेरिका		sg		sg
द्वारा		UNK		UNK
की		sg		sg
गई		sg		sg
टिथी		sg		sg
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
सिंह		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
वह		sg		sg
पाकिस्तान		sg		sg
सरकार		sg		sg
और		UNK		UNK
बलूचिस्तान		sg		sg
की		sg		sg
राजनीति		sg		sg
में		UNK		UNK
दखल		sg		sg
नहीं		UNK		UNK
देंगे		sg		pl
।		UNK		UNK
यह		sg		sg
पाकिस्तान		sg		sg
का		sg		sg
निजी		any		any
मसला		sg		sg
है		sg		sg
।		UNK		UNK
जिन्ना		sg		sg
पर		UNK		UNK
प्रस्तावित		any		any
पुस्तक		sg		sg
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
यह		sg		sg
राजनीतिक		any		any
जीवनी		sg		sg
होगी		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
इस		sg		sg
संबंध		sg		sg
में		UNK		UNK
शोध		sg		sg
जारी		any		any
है		sg		sg
और		UNK		UNK
तीर्थ		sg		sg
-		UNK		UNK
यात्रा		sg		sg
से		UNK		UNK
लौटने		sg		sg
के		UNK		UNK
बाद		sg		sg
मैं		sg		pl
पुस्तक		sg		sg
लिखना		any		any
शुरू		sg		sg
करूँगा		sg		sg
।		UNK		UNK
उन्होंने		sg		sg
कहा		sg		sg
कि		UNK		UNK
मैं		sg		pl
इतिहासकार		sg		sg
नहीं		UNK		UNK
हूँ		sg		pl
,		UNK		UNK
बल्कि		UNK		UNK
मौजूदा		any		any
राजनीति		sg		sg
का		sg		sg
छात्र		sg		sg
हूँ		sg		pl
।		UNK		UNK
पिछले		sg		sg
१४		sg		sg
जून		sg		sg
को		UNK		UNK
अगवा		any		any
किए		pl		pl
गए		pl		pl
छह		any		any
छोटे		pl		pl
व्यापारियों		pl		pl
की		sg		pl
आतंकियों		pl		pl
ने		UNK		UNK
बांग्लादेश		sg		sg
में		UNK		UNK
हत्या		sg		sg
कर		sg		sg
दी		sg		sg
।		UNK		UNK
यह		sg		sg
जानकारी		sg		sg
सोमवार		sg		sg
को		UNK		UNK
पुलिस		sg		sg
ने		UNK		UNK
दी		sg		sg
।		UNK		UNK
पुलिस		sg		sg
सूत्रों		pl		pl
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
२६		sg		sg
जुलाई		sg		sg
को		UNK		UNK
आतंकियों		pl		pl
द्वारा		UNK		UNK
मुक्त		any		any
किए		pl		pl
गए		pl		pl
अन्य		any		any
बंधकों		pl		pl
ने		UNK		UNK
उन्हें		sg		sg
यह		sg		sg
जानकारी		sg		sg
दी		sg		sg
।		UNK		UNK
जिला		sg		sg
मजिस्ट्रेट		sg		sg
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
रिहा		any		any
किए		pl		pl
गए		pl		pl
व्यापारियों		pl		pl
का		sg		sg
उत्तरी		any		any
त्रिपुरा		sg		sg
के		sg		sg
सरकारी		any		any
अस्पताल		sg		sg
में		UNK		UNK
इलाज		sg		sg
कराया		sg		sg
जा		any		any
रहा		sg		sg
है		sg		sg
।		UNK		UNK
पुलिस		sg		sg
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
आतंकियों		pl		pl
ने		UNK		UNK
२४		any		any
लोगों		pl		pl
का		sg		sg
अपहरण		sg		sg
किया		sg		sg
था		sg		sg
,		UNK		UNK
जिसमें		sg		sg
से		UNK		UNK
छह		any		sg
की		sg		sg
बांग्लादेश		sg		sg
के		sg		sg
दक्षिण		sg		sg
पूर्व		sg		sg
में		UNK		UNK
स्थित		any		any
चिटगाँव		sg		sg
पहाड़ियों		pl		pl
में		UNK		UNK
हत्या		sg		sg
कर		sg		sg
दी		sg		sg
गई		sg		sg
।		UNK		UNK
प्रतिबंधित		any		any
आदिवासी		any		any
गुरिल्लाओं		pl		pl
ने		UNK		UNK
२४		any		sg
में		UNK		UNK
१८		any		any
व्यापारियों		pl		pl
को		UNK		UNK
हाल		sg		sg
में		UNK		UNK
मुक्त		any		any
कर		sg		sg
दिया		sg		sg
था		sg		sg
।		UNK		UNK
इनको		pl		sg
१४		sg		sg
जून		sg		sg
को		UNK		UNK
उत्तरी		any		any
त्रिपुरा		sg		sg
से		UNK		UNK
अगवा		any		any
किया		sg		sg
गया		sg		sg
था		sg		sg
।		UNK		UNK
अतिरिक्त		any		any
संसाधन		pl		sg
जुटाने		sg		sg
की		sg		sg
आवश्यकता		sg		sg
और		UNK		UNK
चार		any		any
करोड़		any		any
लाभार्थियों		pl		pl
को		UNK		UNK
उनके		pl		sg
निवेश		sg		sg
का		sg		sg
बेहतर		any		any
रिटर्न		sg		sg
देने		any		any
के		UNK		UNK
लिए		UNK		UNK
कर्मचारी		sg		sg
भविष्य		sg		sg
निधि		sg		sg
संगठन		sg		sg
(		UNK		UNK
ईपीएफओ		sg		sg
)		UNK		UNK
के		sg		sg
बोर्ड		sg		sg
ने		UNK		UNK
सोमवार		sg		sg
को		UNK		UNK
अंतर्राष्ट्रीय		any		any
सलाहकार		sg		sg
फर्म		sg		sg
मर्सर		sg		sg
को		UNK		UNK
नियुक्त		any		any
किया		sg		sg
है		sg		sg
।		UNK		UNK
यह		sg		sg
फर्म		sg		sg
बहुत		UNK		UNK
आकर्षक		any		any
निवेश		sg		sg
रणनीति		sg		sg
बनाने		any		any
में		UNK		UNK
ईपीएफओ		sg		sg
की		sg		sg
मदद		sg		sg
करेगी		sg		sg
।		UNK		UNK
नियुक्ति		sg		sg
के		sg		sg
चार		any		any
माह		sg		sg
के		UNK		UNK
भीतर		sg		sg
मर्सर		sg		sg
को		UNK		UNK
अपनी		any		any
रिपोर्ट		sg		sg
देनी		sg		sg
है		sg		sg
और		UNK		UNK
इसे		sg		sg
सिर्फ		UNK		UNK
एक		any		any
ही		UNK		UNK
बार		sg		sg
में		UNK		UNK
३४		any		any
लाख		any		any
फीस		sg		sg
दी		sg		sg
जाएगी		sg		sg
।		UNK		UNK
सीबीटी		sg		sg
के		sg		sg
इस		sg		sg
फैसले		sg		sg
का		sg		sg
ज्यादातर		any		any
श्रमिक		sg		any
संगठनों		pl		pl
ने		UNK		UNK
विरोध		sg		sg
किया		sg		sg
।		UNK		UNK
श्रमिक		sg		any
संगठनों		pl		pl
का		sg		sg
कहना		any		any
था		sg		sg
कि		UNK		UNK
यह		sg		sg
फैसला		sg		sg
तो		UNK		UNK
वित्त		sg		sg
मंत्रालय		sg		sg
पर		UNK		UNK
छोड़		any		any
देना		sg		any
चाहिए		any		any
जो		sg		sg
ईपीएफ		sg		sg
निवेश		sg		sg
की		sg		sg
मंजूरी		sg		sg
देता		sg		sg
है		sg		sg
।		UNK		UNK
श्रम		sg		sg
मंत्री		sg		sg
के.		sg		sg
चंद्रशेखर		sg		sg
राव		sg		sg
ने		UNK		UNK
सोमवार		sg		sg
को		UNK		UNK
पत्रकारों		pl		pl
को		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
हमने		pl		sg
मर्सर		sg		sg
मानव		sg		sg
संसाधन		sg		sg
सलाहकार		sg		sg
को		UNK		UNK
निवेश		sg		sg
पैटर्न		sg		sg
बेहतर		any		any
बनाने		any		sg
के		UNK		UNK
संबंध		UNK		UNK
में		UNK		UNK
सुझाव		sg		sg
देने		any		any
को		UNK		UNK
कहा		sg		sg
है		sg		sg
।		UNK		UNK
यह		sg		sg
पूछे		sg		sg
जाने		any		any
पर		UNK		UNK
कि		UNK		UNK
ईपीएफ		sg		sg
ब्याज		sg		sg
दर		sg		sg
९.५		any		any
फीसदी		sg		sg
करने		sg		sg
के		UNK		UNK
बाद		sg		sg
९२७		any		any
करोड़		any		any
के		sg		sg
घाटे		sg		sg
को		UNK		UNK
सरकार		sg		sg
किस		sg		UNK
तरह		sg		sg
पूरा		sg		sg
करेगी		sg		sg
राव		sg		sg
ने		UNK		UNK
कहा		sg		sg
,		UNK		UNK
सरकार		sg		sg
इस		sg		sg
पैसे		sg		sg
का		sg		sg
इंतजाम		sg		sg
करेगी		sg		sg
।		UNK		UNK
लोगों		pl		pl
को		UNK		UNK
अब		UNK		UNK
इस		sg		sg
बारे		UNK		UNK
में		UNK		UNK
चिंता		sg		sg
छोड़		any		any
देनी		sg		any
चाहिए		any		any
।		UNK		UNK
उन्होंने		sg		sg
बार		UNK		sg
-		UNK		UNK
बार		UNK		sg
पूछे		sg		sg
जाने		any		any
के		UNK		UNK
बावजूद		UNK		UNK
इन		pl		pl
सवालों		pl		pl
को		UNK		UNK
टाल		sg		sg
दिया		sg		sg
कि		UNK		UNK
इससे		sg		sg
उबरने		any		any
के		UNK		UNK
लिए		UNK		UNK
क्या		UNK		UNK
ईपीएफओ		sg		sg
वित्त		sg		sg
मंत्रालय		sg		sg
के		UNK		UNK
पास		sg		sg
जाएगा		sg		sg
या		UNK		UNK
फिर		UNK		UNK
मार्च		sg		sg
में		UNK		UNK
होने		sg		sg
वाली		sg		sg
सीबीटी		sg		sg
बैठक		sg		sg
में		UNK		UNK
अतिरिक्त		any		any
संसाधन		pl		sg
जुटाने		sg		sg
के		sg		sg
मुद्दे		sg		sg
पर		UNK		UNK
विचार		sg		sg
होगा		sg		sg
।		UNK		UNK
क्योंकि		UNK		UNK
अभी		UNK		UNK
चुनाव		sg		sg
आचार		sg		sg
संहिता		sg		sg
लागू		any		any
होने		any		any
के		UNK		UNK
कारण		UNK		UNK
इस		sg		sg
संबंध		sg		sg
में		UNK		UNK
कोई		sg		sg
घोषणा		sg		sg
नहीं		UNK		UNK
हो		sg		sg
सकती		sg		sg
।		UNK		UNK
श्रम		sg		sg
मंत्री		sg		sg
राव		sg		sg
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
मर्सर		sg		sg
की		sg		sg
रिपोर्ट		sg		sg
पर		UNK		UNK
सीबीटी		sg		sg
निवेश		sg		sg
पैटर्न		sg		sg
को		UNK		UNK
पुनर्गठित		any		any
करने		any		sg
के		UNK		UNK
बारे		UNK		UNK
में		UNK		UNK
अपना		sg		sg
निर्णय		sg		sg
लेगा		sg		sg
।		UNK		UNK
इसमें		sg		sg
इक्विटी		sg		sg
,		UNK		UNK
डाकघर		sg		sg
में		UNK		UNK
जमा		sg		sg
और		UNK		UNK
एनएससी		sg		sg
में		UNK		UNK
निवेश		sg		sg
शामिल		any		any
हैं		pl		pl
।		UNK		UNK
सूत्रों		pl		pl
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
अतिरिक्त		any		any
संसाधन		pl		sg
जुटाने		pl		any
के		pl		pl
प्रयासों		pl		pl
के		UNK		UNK
तहत		UNK		UNK
ही		UNK		UNK
पीएफ		sg		sg
जमा		any		sg
न		UNK		UNK
कराने		pl		pl
वाली		pl		pl
संस्थाओं		pl		pl
से		UNK		UNK
एरियर		pl		sg
वसूलने		any		any
के		UNK		UNK
लिए		UNK		UNK
बाकायदा		UNK		UNK
विशेष		any		any
अभियान		sg		sg
छेड़ा		sg		sg
जाएगा		sg		sg
।		UNK		UNK
सीबीटी		sg		sg
बैठक		sg		sg
में		UNK		UNK
कर्मचारी		sg		sg
पेंशन		sg		sg
योजना		sg		sg
की		sg		sg
मूल्यांकन		sg		sg
रिपोर्ट		sg		sg
पर		UNK		UNK
विचार		sg		sg
किया		sg		sg
गया		sg		sg
।		UNK		UNK
बताया		sg		sg
जाता		sg		sg
है		sg		sg
कि		UNK		UNK
रिपोर्ट		sg		sg
में		UNK		UNK
घाटा		sg		sg
दिखाया		sg		sg
गया		sg		sg
है		sg		sg
।		UNK		UNK
इसका		sg		sg
कारण		sg		sg
बताते		sg		sg
हुए		sg		sg
